name,shape_v,shape_u,coverage,median_step,max_step,ratio,flagged,severe,edges,verdict
20260701183141-w104-106,3816,9124,0.8778,20.18,3243.2,160.72,7634,4122,61108340,REVIEW
20260701183146-w118-119,940,1710,0.8706,20.01,3166.2,158.22,355,273,2795267,REVIEW
20260701183146-w118-119,3760,6840,0.8684,19.99,3149.1,157.51,7100,5049,44652760,REVIEW
20260623171929-w128-129,886,1949,0.654,20.13,3099.8,154.01,832,109,2255124,REVIEW
20260623171929-w128-129,882,1947,0.6575,20.13,3099.8,154.01,831,108,2254854,REVIEW
20260623171929-w128-129,3528,7788,0.6555,20.11,3086.1,153.49,12197,2977,36008380,REVIEW
20250611161415-z_dbg_gen_00411_inp_hr,510,318,0.6735,20.36,3056.8,150.14,115,100,217438,REVIEW
20250611161023-z_dbg_gen_00205_inp_hr,552,168,0.5168,20.63,2938.9,142.48,89,45,95042,REVIEW
20250611172135-z_dbg_gen_00346_inp_hr,522,342,0.649,20.46,2893.0,141.37,102,77,230645,REVIEW
20250919132115-auto_grown_20250919062115592_inp_hr,366,324,0.8001,20.44,2708.8,132.49,4,4,189090,REVIEW
20260221022814-auto_grown_20260220174252405,225,256,0.6526,20.29,2448.2,120.67,67,42,74699,REVIEW
20260623171400-w126-127,793,1917,0.6709,20.08,2387.9,118.9,1200,72,2036364,REVIEW
20260623171400-w126-127,789,1911,0.6762,20.08,2387.9,118.9,1200,72,2035834,REVIEW
20260623171400-w126-127,3156,7644,0.6741,20.07,2376.7,118.43,17077,2047,32509640,REVIEW
20250611132918-z_dbg_gen_00302_inp_hr,540,348,0.5888,20.45,2405.7,117.65,135,78,220152,REVIEW
20260623170305-w122-123,2424,6844,0.8794,19.93,2269.8,113.9,540,510,29167650,REVIEW
20260623170305-w122-123,5149,14537,0.8789,19.93,2270.3,113.89,2252,2135,131548590,REVIEW
20260623170305-w122-123,606,1711,0.8821,19.94,2269.9,113.82,20,20,1826416,REVIEW
20260623170305-w122-123,610,1713,0.8755,19.94,2269.9,113.82,20,20,1826780,REVIEW
20250611154256-z_dbg_gen_00354_inp_hr,552,372,0.605,20.42,2219.6,108.71,213,148,247280,REVIEW
20260623170833-w124-125,635,1742,0.8391,19.99,2140.5,107.09,127,32,1853304,REVIEW
20260623170833-w124-125,633,1740,0.8424,19.99,2140.5,107.09,127,32,1852894,REVIEW
20260623170833-w124-125,2532,6960,0.8399,19.97,2108.2,105.55,2234,924,29590020,REVIEW
20250716055227-z_dbg_gen_00260_inp_hr,276,198,0.5086,20.38,2076.8,101.92,60,50,55042,REVIEW
20250611133823-z_dbg_gen_00130_inp_hr,564,198,0.5398,20.5,1948.9,95.07,142,73,119719,REVIEW
20260623171929-w128-129,1082,2392,0.6273,20.1,1893.2,94.2,815,96,3240748,REVIEW
20251115002744-auto_grown_20251115002740308_4_flatboi,800,2927,0.7669,19.98,1847.8,92.49,121,99,3586162,REVIEW
20251115002744-auto_grown_20251115002740308_4_flatboi,802,2929,0.7649,19.98,1847.8,92.49,122,99,3588139,REVIEW
20250926153406-w088_20250926153406704_flatboi,812,747,0.4849,19.94,1745.5,87.54,562,346,580075,SPARSE
20260623171400-w126-127,968,2348,0.6489,20.07,1744.2,86.92,1290,67,2944307,REVIEW
20250716055229-z_dbg_gen_00371_inp_hr,546,210,0.6286,20.39,1694.4,83.09,96,70,143139,REVIEW
20250611171745-z_dbg_gen_00225_inp_hr,546,210,0.6424,20.37,1668.1,81.89,121,86,146332,REVIEW
20250609204953-z_dbg_gen_00612,486,342,0.443,20.58,1582.5,76.89,205,134,143808,SPARSE
20260701183140-w101-103,979,2255,0.8547,20.09,1438.3,71.57,440,339,3769375,REVIEW
20260701183138-w095-097,968,2164,0.8667,20.07,1426.2,71.08,377,301,3626897,REVIEW
20260701183140-w101-103,3916,9020,0.8527,20.08,1419.5,70.7,8489,5265,60222384,REVIEW
20250611153340-z_dbg_gen_00275,420,192,0.5283,20.7,1429.2,69.04,134,68,83436,REVIEW
20250611153346-z_dbg_gen_00286_inp_hr,450,300,0.7406,20.55,1356.8,66.03,91,63,199008,REVIEW
20250716055232-z_dbg_gen_00505_inp_hr,528,372,0.5426,20.54,1342.8,65.38,129,104,212039,REVIEW
20250716055228-z_dbg_gen_00333_inp_hr,306,216,0.7008,20.27,1296.2,63.94,255,128,91941,REVIEW
20260701183143-w110-112,766,1645,0.9785,27.0,1704.7,63.14,1511,241,2462943,REVIEW
20260701183138-w095-097,3872,8656,0.8647,20.05,1249.6,62.33,7446,4847,57946884,REVIEW
20260701183142-w107-109,766,1602,0.9786,27.15,1684.6,62.05,1413,226,2398759,REVIEW
20260701183145-w116-117,766,1151,0.978,26.77,1589.1,59.37,1220,237,1722002,REVIEW
20260302000000-w039_2026030210,599,421,0.3868,20.92,1194.4,57.09,39,39,194434,SPARSE
20260701183148-w122-123,766,1210,0.9785,26.38,1493.6,56.61,2446,674,1811291,REVIEW
20260701183151-w128-129,766,1269,0.9799,25.37,1407.8,55.49,11987,4886,1902301,REVIEW
20250609204953-z_dbg_gen_00612,490,336,0.4581,19.97,1074.5,53.79,574,155,146864,SPARSE
20250609204953-z_dbg_gen_00612,954,655,0.4337,19.97,1069.2,53.55,2282,667,534328,SPARSE
20260701183147-w120-121,766,1191,0.9781,26.57,1389.3,52.29,1680,438,1782065,REVIEW
20260701183144-w113-115,766,1689,0.9781,26.84,1395.1,51.98,1686,290,2527738,REVIEW
20260701183137-w092-094,766,1380,0.9779,27.51,1427.7,51.9,1259,161,2064917,REVIEW
20260701183146-w118-119,766,1171,0.9779,26.69,1379.4,51.68,1267,304,1751837,REVIEW
20260701183140-w101-103,766,1512,0.9782,27.31,1386.5,50.77,1118,241,2263211,REVIEW
20260701183149-w124-125,766,1229,0.979,26.09,1288.9,49.39,4378,1829,1840636,REVIEW
20260623170833-w124-125,777,2138,0.8134,19.97,969.9,48.57,103,21,2698870,REVIEW
20260623170305-w122-123,743,2102,0.8521,19.93,967.4,48.54,32,21,2658256,REVIEW
20260701183135-w085-088,766,1713,0.9778,27.48,1323.3,48.15,1357,164,2563131,REVIEW
20260701183136-w089-091,961,2038,0.8759,20.0,921.6,46.08,271,198,3426644,REVIEW
20260701183136-w089-091,3844,8152,0.8737,19.98,918.0,45.94,4904,2541,54744192,REVIEW
20250716055235-z_dbg_gen_00779_inp_hr,609,633,0.38,19.97,902.2,45.18,3306,1023,290916,SPARSE
20250716055235-z_dbg_gen_00779_inp_hr,1185,1234,0.3744,19.97,901.5,45.14,11948,3718,1090758,SPARSE
20260701183150-w126-127,766,1249,0.9794,25.75,1131.8,43.95,9634,4751,1871319,REVIEW
20250611173014-z_dbg_gen_00506_inp_hr,618,485,0.3926,19.93,859.9,43.15,3440,1715,233249,SPARSE
20260701183134-w081-084,984,2438,0.8701,19.99,860.1,43.02,252,213,4169515,REVIEW
20250611173014-z_dbg_gen_00506_inp_hr,1203,945,0.3854,19.92,841.1,42.22,12633,6329,872159,SPARSE
20260701183134-w081-084,3936,9752,0.868,19.98,822.4,41.17,4605,2840,66612972,REVIEW
20260701183144-w113-115,198,511,0.8912,20.03,823.3,41.1,29,21,179454,REVIEW
20250926153406-w088_20250926153406704_flatboi,728,625,0.6295,19.96,798.3,40.0,349,210,569278,REVIEW
20260701183132-w073-076,766,1477,0.9777,27.18,1046.7,38.51,844,128,2209604,REVIEW
20250925204843-auto_grown_20250925204843950,903,6197,0.3422,20.0,766.5,38.32,5177,4110,3801316,SPARSE
20250925204843-auto_grown_20250925204843950,1920,13182,0.3088,20.01,766.8,38.31,20706,17179,15575491,SPARSE
20250925204843-auto_grown_20250925204843950,232,1593,0.362,20.02,766.9,38.31,295,287,260257,SPARSE
20260701183133-w077-080,766,1554,0.9776,27.17,1038.1,38.21,1198,136,2324654,REVIEW
20260701183149-w124-125,221,378,0.7799,20.07,751.4,37.43,51,31,129530,REVIEW
20260701183133-w077-080,3924,9228,0.867,19.98,747.4,37.41,2069,1272,62770392,REVIEW
20250611153346-z_dbg_gen_00286_inp_hr,462,303,0.7455,19.97,741.1,37.11,994,202,207596,REVIEW
20260701183134-w081-084,766,1634,0.9776,27.27,956.0,35.06,1422,134,2444220,REVIEW
20260602230115-20230702185753_v14,239,68,0.7763,20.04,699.3,34.89,62,30,24839,REVIEW
20250611170257-z_dbg_gen_00308_inp_hr,892,662,0.2672,19.86,675.4,34.01,5057,2495,313324,SPARSE
20260701183138-w095-097,766,1425,0.9781,27.4,927.6,33.85,1241,200,2132586,REVIEW
20251115002742-auto_grown_20251115002740308_2_flatboi,621,2792,0.9066,20.02,675.1,33.71,300,127,3138469,REVIEW
20251115002742-auto_grown_20251115002740308_2_flatboi,619,2790,0.9098,20.02,675.0,33.71,296,127,3136972,REVIEW
20260701183148-w122-123,209,362,0.8336,20.07,665.7,33.17,48,27,125424,REVIEW
20260701183129-w059-063,766,1515,0.9778,27.36,907.1,33.16,2389,189,2266690,REVIEW
20260701183150-w126-127,248,408,0.7182,19.77,647.0,32.72,43,22,144433,REVIEW
20260701183139-w098-100,966,2209,0.8663,20.09,652.9,32.5,303,235,3692703,REVIEW
20250929040153-auto_grown_20250929040153260,168,562,0.4302,19.98,649.0,32.49,134,134,78925,SPARSE
20260701183139-w098-100,3864,8836,0.8642,20.07,651.9,32.48,5610,2893,58995884,REVIEW
20250611170257-z_dbg_gen_00308_inp_hr,1736,1290,0.2633,19.86,640.2,32.24,18716,9281,1174596,SPARSE
20250929040153-auto_grown_20250929040153260,1390,4651,0.4057,19.97,642.0,32.14,11747,9319,5227146,SPARSE
20250929040153-auto_grown_20250929040153260,654,2186,0.4056,19.96,641.2,32.12,2692,2078,1150873,SPARSE
20260127000000-w057_2026012713,369,476,0.8821,19.99,636.8,31.86,35,35,308907,REVIEW
20260127000000-w057_2026012713,1476,1904,0.8767,19.98,633.6,31.71,696,535,4923644,REVIEW
20260701183137-w092-094,953,2107,0.8817,20.03,634.8,31.69,363,295,3536664,REVIEW
20260701183143-w110-112,198,502,0.8895,20.0,633.6,31.67,22,18,175974,REVIEW
20260701183147-w120-121,201,365,0.8614,19.86,628.6,31.65,44,32,125684,REVIEW
20260220213127-w00,221,252,0.6741,20.23,640.1,31.64,2,2,74609,REVIEW
20250611153346-z_dbg_gen_00286_inp_hr,899,590,0.7371,19.97,628.7,31.48,3548,613,779579,REVIEW
20260701183137-w092-094,3812,8428,0.8796,20.02,624.1,31.18,6670,3287,56504768,REVIEW
20260701183145-w116-117,198,355,0.8754,19.85,617.5,31.11,25,19,122386,REVIEW
20260701183146-w118-119,198,361,0.8682,19.88,612.0,30.78,33,31,123436,REVIEW
20260701183131-w069-072,766,1398,0.9779,27.21,836.4,30.74,864,77,2091808,REVIEW
20260623171929-w128-129,186,411,0.6555,19.95,582.8,29.21,19,14,99496,REVIEW
20250926203608-auto_grown_20250926203608932,231,1223,0.3605,20.0,557.6,27.88,175,147,198405,SPARSE
20250926203608-auto_grown_20250926203608932,1912,10120,0.3239,19.99,557.1,27.86,11759,8689,12490629,SPARSE
20250926165636-auto_trace_20250926165636789,1994,11263,0.3279,20.05,558.8,27.86,15976,11801,14681258,SPARSE
20250926165636-auto_trace_20250926165636789,938,5294,0.3589,20.04,558.3,27.86,3969,2769,3539797,SPARSE
20250926203608-auto_grown_20250926203608932,899,4757,0.3416,19.99,556.8,27.86,2717,1927,2901644,SPARSE
20250926165636-auto_trace_20250926165636789,241,1361,0.3786,20.05,558.6,27.85,233,216,241971,SPARSE
20260701183135-w085-088,983,2558,0.869,20.03,527.2,26.31,175,103,4365205,REVIEW
20260701183136-w089-091,766,1335,0.9782,27.55,720.5,26.15,1139,134,1998082,REVIEW
20260701183135-w085-088,3932,10232,0.867,20.02,521.3,26.04,2702,935,69743540,REVIEW
20251106170358-w076_20251106170358232_flatboi,682,615,0.8372,19.85,516.6,26.03,8,8,700603,REVIEW
20260701183151-w128-129,236,375,0.7634,20.35,528.2,25.96,41,15,134307,REVIEW
20251115002741-auto_grown_20251115002740308_1_flatboi,629,2815,0.9049,20.02,515.6,25.76,164,59,3196871,REVIEW
20251115002741-auto_grown_20251115002740308_1_flatboi,631,2817,0.9058,20.02,515.6,25.76,214,72,3212540,REVIEW
20260701183141-w104-106,766,1557,0.9785,27.24,700.9,25.73,1146,245,2331162,REVIEW
20250928235953-auto_grown_20250928235953722,981,10262,0.3619,20.0,512.0,25.6,7010,4956,7239273,SPARSE
20250928235953-auto_grown_20250928235953722,2086,21831,0.3606,20.01,512.0,25.59,30621,22983,32737049,SPARSE
20250928235953-auto_grown_20250928235953722,252,2638,0.3806,20.02,511.9,25.57,415,402,493596,SPARSE
20260623171400-w126-127,167,403,0.6743,19.97,501.5,25.11,20,10,90114,REVIEW
20260701183142-w107-109,200,492,0.8833,20.06,502.9,25.08,8,8,172967,REVIEW
20260603222816-20231005123336_v2_flatboi,2372,2812,0.8503,20.04,490.7,24.48,451,53,11337896,REVIEW
20260701183139-w098-100,766,1468,0.9782,27.38,665.0,24.29,1181,230,2197171,REVIEW
20250716055230-z_dbg_gen_00377_inp_hr,558,361,0.6862,19.93,482.9,24.23,3544,2055,274842,REVIEW
20250716055230-z_dbg_gen_00377_inp_hr,258,167,0.6771,19.9,482.0,24.22,734,413,57524,REVIEW
20250716055230-z_dbg_gen_00377_inp_hr,1086,703,0.6776,19.93,482.4,24.21,13113,7630,1031224,REVIEW
20250926051122-auto_grown_20250926051122829,270,2589,0.3382,19.98,478.4,23.94,127,127,459314,SPARSE
20250926051122-auto_grown_20250926051122829,2235,21425,0.3167,19.97,478.1,23.94,9017,7086,30218423,SPARSE
20250926051122-auto_grown_20250926051122829,1051,10071,0.3188,19.97,477.9,23.93,1996,1489,6697466,SPARSE
20260701183130-w064-068,766,1635,0.9779,27.32,647.8,23.71,1224,86,2446617,REVIEW
20251206184729-w095_20251206184729906_flatboi,728,564,0.5785,20.05,468.3,23.36,22,8,473214,REVIEW
20260701183126-w038-045,766,1655,0.9779,26.81,623.8,23.26,2149,66,2476543,REVIEW
20250611170257-z_dbg_gen_00308_inp_hr,412,306,0.2629,19.86,449.2,22.62,1004,495,65202,SPARSE
20251105093211-z_dbg_gen_00320,682,411,0.1001,19.86,446.8,22.5,1016,50,54072,SPARSE
20260701183141-w104-106,201,481,0.8777,20.1,451.3,22.46,12,8,168872,REVIEW
20260701183127-w046-052,766,1708,0.978,27.0,604.8,22.4,1900,127,2555926,REVIEW
20250609204953-z_dbg_gen_00612,226,156,0.4345,19.99,445.3,22.28,120,35,28858,SPARSE
20250716055235-z_dbg_gen_00779_inp_hr,282,293,0.3744,19.92,437.7,21.97,610,196,60926,SPARSE
20250716055236-z_dbg_gen_00356_inp_hr,583,339,0.574,19.95,434.6,21.78,2722,1520,225474,REVIEW
20250925161630-auto_grown_20250925161630635,2135,7862,0.3462,20.04,436.4,21.78,4007,2676,11582639,SPARSE
20250925161630-auto_grown_20250925161630635,258,950,0.3696,20.04,436.2,21.76,56,48,176369,SPARSE
20250716055236-z_dbg_gen_00356_inp_hr,269,157,0.5665,19.97,434.6,21.76,541,289,47153,REVIEW
20250716055236-z_dbg_gen_00356_inp_hr,1135,660,0.5663,19.94,433.9,21.76,9949,5556,845419,REVIEW
20250925161630-auto_grown_20250925161630635,1004,3696,0.3498,20.03,435.4,21.73,898,593,2577283,SPARSE
20250611173014-z_dbg_gen_00506_inp_hr,286,225,0.3851,19.89,429.9,21.62,669,352,48588,SPARSE
20260701183128-w053-058,766,1653,0.9781,27.19,587.3,21.6,2448,143,2473976,REVIEW
20260127000000-w057_2026012713,380,489,0.8745,19.97,431.1,21.59,57,21,324052,REVIEW
20260220214732-auto_grown_20260220144552896,225,256,0.6527,20.23,436.5,21.57,7,2,74716,REVIEW
20251110110112-w066_20251110110112608_flatboi,1005,768,0.5901,20.03,426.9,21.31,234,25,909092,REVIEW
20250611161415-z_dbg_gen_00411_inp_hr,516,319,0.7013,19.94,412.9,20.7,1289,252,229679,REVIEW
20250611161415-z_dbg_gen_00411_inp_hr,239,148,0.6936,19.89,411.3,20.68,217,50,48476,REVIEW
20250611161415-z_dbg_gen_00411_inp_hr,1005,622,0.6936,19.93,412.1,20.68,4446,926,864688,REVIEW
20250611153340-z_dbg_gen_00275,431,257,0.3957,20.0,412.8,20.64,69,23,85587,SPARSE
20251217234605-w2_20251217234605189,762,731,0.7151,21.57,443.6,20.56,1760,267,795266,REVIEW
20250611171318-z_dbg_gen_00440_inp_hr,362,291,0.6171,28.19,576.0,20.43,2716,493,128935,REVIEW
20250611171318-z_dbg_gen_00440_inp_hr,167,135,0.6055,28.2,576.2,20.43,518,88,26758,REVIEW
20250611171318-z_dbg_gen_00440_inp_hr,705,567,0.6061,28.16,575.0,20.42,9931,1730,482233,REVIEW
20250716055231-z_dbg_gen_00473_inp_hr,579,358,0.5977,20.02,408.7,20.41,1714,1046,246380,REVIEW
20250716055231-z_dbg_gen_00473_inp_hr,268,166,0.5893,19.99,407.6,20.4,341,185,51723,REVIEW
20250716055231-z_dbg_gen_00473_inp_hr,1127,697,0.5904,20.02,408.3,20.39,6329,3779,924474,REVIEW
20250611153340-z_dbg_gen_00275,839,501,0.3771,20.0,405.7,20.28,199,43,313217,SPARSE
20250716055234-z_dbg_gen_00709_inp_hr,187,114,0.766,19.87,395.5,19.9,399,160,32089,REVIEW
20250716055234-z_dbg_gen_00709_inp_hr,405,247,0.7776,19.87,395.4,19.9,2111,909,154429,REVIEW
20250716055234-z_dbg_gen_00709_inp_hr,788,481,0.7653,19.87,395.2,19.89,7691,3183,577670,REVIEW
20250716055233-z_dbg_gen_00565_inp_hr,481,397,0.6073,19.9,384.1,19.29,2722,1721,230627,REVIEW
20250716055233-z_dbg_gen_00565_inp_hr,222,184,0.6,19.91,384.0,19.29,541,329,48367,REVIEW
20250716055233-z_dbg_gen_00565_inp_hr,936,773,0.6004,19.9,383.7,19.28,9988,6215,866025,REVIEW
20260227000000-w052_2026022705,374,475,0.8979,20.0,385.2,19.26,41,40,318054,REVIEW
20250925182632-auto_grown_20250925182632715,930,4217,0.3492,20.02,381.3,19.05,934,514,2721389,SPARSE
20250925182632-auto_grown_20250925182632715,1978,8971,0.3458,20.02,381.3,19.04,4046,2439,12235389,SPARSE
20250925182632-auto_grown_20250925182632715,239,1084,0.3666,20.03,381.1,19.03,58,50,185449,SPARSE
20260227000000-w052_2026022705,1496,1900,0.8924,19.98,366.5,18.34,825,390,5069384,REVIEW
20250930083742-auto_grown_20250930083742882,984,3995,0.3492,20.04,360.5,17.99,476,342,2724645,SPARSE
20250930083742-auto_grown_20250930083742882,2094,8499,0.3494,20.03,360.3,17.98,2066,1531,12390607,SPARSE
20250930083742-auto_grown_20250930083742882,253,1027,0.3706,20.04,360.4,17.98,29,29,187083,SPARSE
20260227000000-w052_2026022705,385,488,0.8905,19.99,359.2,17.97,42,39,333626,REVIEW
20250611172135-z_dbg_gen_00346_inp_hr,556,329,0.639,19.99,353.5,17.68,1086,419,232508,REVIEW
20250611172135-z_dbg_gen_00346_inp_hr,1082,641,0.6314,19.99,353.2,17.67,3853,1514,873199,REVIEW
20250611172135-z_dbg_gen_00346_inp_hr,257,152,0.6313,19.97,352.9,17.67,215,79,48699,REVIEW
20250611153347-z_dbg_gen_00105_inp_hr,219,103,0.5799,19.96,346.2,17.35,540,317,25669,REVIEW
20250611153347-z_dbg_gen_00105_inp_hr,475,222,0.5892,19.94,345.9,17.35,2595,1669,123233,REVIEW
20250611153347-z_dbg_gen_00105_inp_hr,924,433,0.5796,19.94,345.7,17.34,9585,6092,461675,REVIEW
20260603222816-20231005123336_v2_flatboi,2371,2640,0.9048,20.05,337.0,16.81,277,16,11322443,REVIEW
20260623170305-w122-123,128,361,0.8794,19.83,332.4,16.76,8,4,80713,REVIEW
20250716055227-z_dbg_gen_00260_inp_hr,287,191,0.5521,19.89,332.5,16.72,1095,389,59880,REVIEW
20250716055227-z_dbg_gen_00260_inp_hr,133,88,0.5384,19.94,333.1,16.71,218,50,12294,REVIEW
20250716055227-z_dbg_gen_00260_inp_hr,559,372,0.5392,19.88,331.9,16.69,4008,1144,222949,REVIEW
20250628074500-500P2_front,679,387,0.649,19.84,329.1,16.59,50,7,339914,REVIEW
20250919132115-auto_grown_20250919062115592_inp_hr,1303,1181,0.8059,20.02,331.4,16.55,5574,4574,2477723,REVIEW
20250919132115-auto_grown_20250919062115592_inp_hr,362,328,0.8119,20.02,331.1,16.54,427,372,192081,REVIEW
20251106170358-w076_20251106170358232_flatboi,673,608,0.8524,19.85,324.9,16.37,13,5,695875,REVIEW
20250611132918-z_dbg_gen_00302_inp_hr,545,353,0.6042,19.97,314.2,15.73,1202,514,231124,REVIEW
20250611132918-z_dbg_gen_00302_inp_hr,1061,688,0.5967,19.96,313.7,15.71,4376,1753,868340,REVIEW
20250611132918-z_dbg_gen_00302_inp_hr,252,163,0.5969,19.95,313.5,15.71,222,82,48367,REVIEW
20260206000002-w054_2026020617,372,542,0.8475,19.99,307.9,15.4,32,22,340709,REVIEW
20260206000002-w054_2026020617,1488,2168,0.8423,19.97,306.8,15.36,360,129,5430520,REVIEW
20250611134135-z_dbg_gen_00331_inp_hr,586,355,0.5496,19.94,304.3,15.26,1583,717,227264,REVIEW
20250611134135-z_dbg_gen_00331_inp_hr,1141,691,0.5426,19.93,303.7,15.24,5834,2584,852628,REVIEW
20250611134135-z_dbg_gen_00331_inp_hr,271,164,0.5415,19.92,303.6,15.24,317,125,47440,REVIEW
20260306000001-w051_2026030600,368,467,0.9098,19.97,298.5,14.95,15,11,311775,REVIEW
20260604223808-20231210121321_v8,3380,2352,0.9165,20.09,296.7,14.77,957,12,14565932,REVIEW
20250611161023-z_dbg_gen_00205_inp_hr,560,164,0.5502,19.97,289.1,14.48,715,420,100144,REVIEW
20250611161023-z_dbg_gen_00205_inp_hr,1090,320,0.5387,19.95,288.6,14.46,2655,1503,373961,REVIEW
20250611161023-z_dbg_gen_00205_inp_hr,259,76,0.5425,19.94,288.3,14.46,139,81,20931,REVIEW
20260206000002-w054_2026020617,383,557,0.8416,19.94,287.6,14.43,23,15,358027,REVIEW
20251110110112-w066_20251110110112608_flatboi,837,749,0.7227,20.03,288.8,14.42,183,3,904332,REVIEW
20260701183140-w101-103,207,476,0.8528,19.97,287.1,14.38,21,3,167214,REVIEW
20260623170833-w124-125,134,367,0.8401,19.89,279.9,14.07,8,4,82052,REVIEW
20251206184729-w095_20251206184729906_flatboi,724,571,0.5695,20.05,281.7,14.05,5,1,469075,REVIEW
20250611171745-z_dbg_gen_00225_inp_hr,507,212,0.6262,21.73,305.1,14.04,574,133,133536,REVIEW
20250611171745-z_dbg_gen_00225_inp_hr,987,413,0.6159,21.72,304.8,14.03,1979,471,499867,REVIEW
20250611171745-z_dbg_gen_00225_inp_hr,234,98,0.615,21.74,304.8,14.02,94,21,27675,REVIEW
20260603222816-20231005123336_v2_flatboi,5036,5607,0.904,20.05,279.9,13.96,780,24,51041905,REVIEW
20250919133208-auto_grown_20250919063208154_inp_hr,1228,903,0.7692,20.03,276.0,13.78,8794,7409,1703739,REVIEW
20260220000000-w053_2026022021,362,504,0.8671,20.01,275.2,13.76,21,6,315426,REVIEW
20250919133208-auto_grown_20250919063208154_inp_hr,341,251,0.7763,20.02,275.2,13.74,669,605,132274,REVIEW
20260604223808-20231210121321_v8,3409,2338,0.913,20.09,276.0,13.73,823,9,14548173,REVIEW
20260306000001-w051_2026030600,1472,1868,0.9043,19.96,273.8,13.72,215,66,4969536,REVIEW
20260604223808-20231210121321_v8,7241,4966,0.5998,20.09,273.8,13.63,45,30,43128746,REVIEW
20250926114310-w080_20250926114310705_flatboi,642,578,0.738,19.81,269.5,13.61,1,1,546054,REVIEW
20251204192708-w093_20251204192708445_flatboi,747,879,0.4565,19.93,260.2,13.05,2,1,596908,SPARSE
