name,step_deg,worst_ratio,jumps,jump_rate,flips,turns_median,turns_max,radius_median,verdict
20250926153406-w088_20250926153406704_flatboi,0.4358,51.1,72,0.000255,810,0.64,0.74,2024.5,REVIEW
20250925182632-auto_grown_20250925182632715,0.2152,50.7,1381,0.001077,1284,0.1,0.91,3732.5,REVIEW
20250926165636-auto_trace_20250926165636789,0.4918,50.2,1335,0.016623,470,0.13,0.84,1172.7,REVIEW
20250925182632-auto_grown_20250925182632715,0.0995,47.1,20137,0.003383,2966,0.07,0.91,7886.9,REVIEW
20251218010446-w0_20251218010446110,0.1473,47.1,21599,0.135951,10370,0.09,0.51,1334.9,REVIEW
20250926165636-auto_trace_20250926165636789,0.0619,46.4,160026,0.022534,9164,0.04,0.89,8734.3,REVIEW
20250926051122-auto_grown_20250926051122829,0.117,46.1,48344,0.003291,7825,0.08,0.86,7452.0,REVIEW
20251217234605-w2_20251217234605189,0.1344,46.0,25188,0.065858,55406,0.12,0.52,2255.3,REVIEW
20250926051122-auto_grown_20250926051122829,0.25,45.5,8725,0.002788,3128,0.1,0.86,3513.3,REVIEW
20250926203608-auto_grown_20250926203608932,0.1239,38.7,30074,0.022366,2964,0.06,0.88,4051.4,REVIEW
20260623170833-w124-125,0.3506,38.4,10,7e-06,1252,1.99,2.0,2926.0,REVIEW
20250926203608-auto_grown_20250926203608932,0.0601,38.3,169513,0.028164,6606,0.05,0.76,8736.0,REVIEW
20250926203608-auto_grown_20250926203608932,0.4444,36.0,1305,0.020744,415,0.12,0.88,1042.3,REVIEW
20251218211706-w3_20251218211706689,0.2011,35.3,14894,0.096509,8314,0.09,0.53,1327.1,REVIEW
20260623170305-w122-123,0.3547,33.2,18,1.4e-05,432,1.99,2.0,2889.6,REVIEW
20251218212713-w5_20251218212713988,0.2648,31.0,13849,0.09982,8698,0.13,0.53,1237.7,REVIEW
20251115002741-auto_grown_20251115002740308_1_flatboi,1.0913,30.5,44,2.8e-05,1220,1.06,9.13,976.9,REVIEW
20251206184729-w095_20251206184729906_flatboi,0.443,30.5,207,0.000891,1411,0.62,0.7,1654.8,REVIEW
20251115002741-auto_grown_20251115002740308_1_flatboi,1.0917,30.4,33,2.1e-05,980,1.03,9.12,976.7,REVIEW
20260603222816-20231005123336_v2_flatboi,0.2989,28.8,1897,0.000336,262,2.18,2.31,3390.1,REVIEW
20251218212128-w4_20251218212128406,0.2125,28.5,13406,0.089781,9594,0.1,0.53,1375.5,REVIEW
20251220012955-w7_20251220012955200,0.3206,27.9,4896,0.076884,4358,0.07,0.5,765.2,REVIEW
20251220015639-w6_20251220015639809,0.2976,26.2,5360,0.070439,6124,0.07,0.52,907.0,REVIEW
20251206184729-w095_20251206184729906_flatboi,0.4422,24.1,261,0.001134,1289,0.62,0.69,1650.1,REVIEW
20250925161630-auto_grown_20250925161630635,1.1182,20.7,4,6.8e-05,64,0.3,0.75,858.8,REVIEW
20260603222816-20231005123336_v2_flatboi,0.2992,20.2,1875,0.000332,260,2.18,2.31,3390.6,REVIEW
20251222204911-w6_20251222204911527,0.3157,19.1,2938,0.083048,1552,0.09,0.55,711.1,REVIEW
20251105093211-z_dbg_gen_00320,0.4536,18.9,1100,0.072108,353,0.1,0.54,688.7,REVIEW
20251115002742-auto_grown_20251115002740308_2_flatboi,0.934,18.7,33,2.1e-05,696,2.13,7.65,1156.9,WATCH
20251115002742-auto_grown_20251115002740308_2_flatboi,0.9341,18.6,29,1.9e-05,670,2.1,7.65,1156.9,WATCH
20260603222816-20231005123336_v2_flatboi,0.1409,17.4,8410,0.00033,542,2.18,2.31,7202.9,WATCH
20251001060526-auto_grown_20251001060526760,0.2941,16.4,3982,0.000657,1360,0.22,2.89,3505.4,WATCH
20250925182632-auto_grown_20250925182632715,0.8555,16.2,7,0.000109,111,0.2,0.9,961.7,WATCH
20251001060526-auto_grown_20251001060526760,0.6246,16.2,811,0.00064,422,0.28,2.89,1648.7,WATCH
20250930083742-auto_grown_20250930083742882,0.1729,15.8,497,8.2e-05,1357,0.15,0.94,5877.2,WATCH
20260604223808-20231210121321_v8,0.1707,15.6,15705,0.000733,3358,2.29,2.5,6089.2,WATCH
20250703025628-auto_grown_20250703025628283,0.1933,15.5,481,0.040881,517,0.05,0.09,601.3,REVIEW
20260221022814-auto_grown_20260220174252405,0.1741,15.3,9341,0.01321,5128,0.13,0.74,3892.7,REVIEW
20250930083742-auto_grown_20250930083742882,0.368,15.2,91,7.1e-05,613,0.18,0.94,2763.0,WATCH
20250703025628-auto_grown_20250703025628283,0.1916,15.2,501,0.037034,726,0.05,0.09,613.8,REVIEW
20251222223312-w7_20251222223312675,0.3974,14.8,1369,0.067108,997,0.1,0.54,580.4,REVIEW
20251115002740-auto_grown_20251115002740308_0_flatboi,1.4216,14.8,7,6e-06,684,2.5,10.31,750.3,WATCH
20250926112011-w078_20250926112011918_flatboi,0.4391,14.7,85,0.000241,1962,0.7,0.76,2209.8,WATCH
20251115002740-auto_grown_20251115002740308_0_flatboi,1.4214,14.7,7,6e-06,698,2.67,10.31,750.4,WATCH
20260623170305-w122-123,2.0626,14.4,4,0.0001,50,1.99,2.0,496.1,WATCH
20250502184845-auto_grown_20250502164121265,0.2422,14.1,284,0.020652,1686,0.04,0.18,459.9,REVIEW
20250926051122-auto_grown_20250926051122829,1.0095,14.0,14,0.000102,303,0.29,0.86,903.9,WATCH
20260226123353-auto_grown_20260226123353106,0.5484,14.0,498,0.008565,668,0.25,0.95,3422.2,REVIEW
20260226123353-auto_grown_20260226123353106,1.1578,13.9,107,0.008665,298,0.3,0.96,1637.9,REVIEW
20250926112011-w078_20250926112011918_flatboi,0.4396,13.8,83,0.000237,1678,0.71,0.76,2204.9,WATCH
20251219211451-w8_20251219211451561,0.4941,13.7,179,0.020233,533,0.08,0.2,530.7,REVIEW
20250925204843-auto_grown_20250925204843950,0.4401,13.6,1027,0.012087,869,0.11,0.9,1107.8,REVIEW
20260226123353-auto_grown_20260226123353106,1.1209,13.5,287,0.022945,212,0.37,0.67,1667.6,REVIEW
20260226000000-46527_2um_try2,0.1492,13.4,4458,0.00577,1563,0.3,0.77,3648.7,REVIEW
20250930083742-auto_grown_20250930083742882,1.4384,13.3,1,1.6e-05,82,0.35,0.94,711.6,WATCH
20260226000000-46527_2um_try2,0.3174,13.1,967,0.005655,735,0.31,0.77,1723.8,REVIEW
20260225160055-auto_grown_20260225160055913,0.8353,12.9,1367,0.036904,260,0.63,0.73,2667.0,REVIEW
20260612121456-w011_20260108140509268_merged_v4_flatboi_straightened_v4,1.0564,12.8,385,9.4e-05,5864,0.55,29.6,1098.1,WATCH
20260612121456-w011_20260108140509268_merged_v4_flatboi_straightened_v4,1.0441,12.8,415,9.5e-05,6340,0.55,29.61,1099.3,WATCH
20260612121456-w011_20260108140509268_merged_v4_flatboi_straightened_v4,0.3218,12.4,22145,0.000489,18880,0.17,29.62,3587.9,WATCH
20260221022814-auto_grown_20260220174252405,0.6305,12.3,422,0.008814,1372,0.14,0.71,1016.4,REVIEW
20260226000000-46527_2um_try2,0.338,12.2,1263,0.007278,764,0.32,0.67,1731.5,REVIEW
20260623170833-w124-125,2.0396,11.9,4,9.8e-05,104,1.99,2.0,503.0,WATCH
20260225160055-auto_grown_20260225160055913,1.8053,11.8,211,0.031167,90,0.62,0.74,1289.9,REVIEW
20250926165636-auto_trace_20250926165636789,0.5215,11.7,796,0.009226,520,0.15,0.66,1160.5,REVIEW
20260612121456-w011_20260108140509268_merged_v4_flatboi_straightened_v4,0.4382,11.6,12139,0.000497,13758,0.19,29.59,2630.8,WATCH
20260603190005-5753_-5,0.2701,11.5,18698,0.011688,8038,0.15,1.18,3042.2,REVIEW
20250926203608-auto_grown_20250926203608932,0.5332,11.4,661,0.010208,442,0.13,0.87,1049.8,REVIEW
20260226121302-auto_grown_20260226121302716_abf,0.998,11.4,55,0.00413,175,0.29,0.49,1946.2,REVIEW
20251204192708-w093_20251204192708445_flatboi,0.4179,11.3,252,0.000859,1656,0.64,0.73,2089.1,WATCH
20250928235954-auto_grown_20250928235953722_copy,0.5706,11.2,350,0.006099,343,0.32,0.8,3985.4,REVIEW
20260226113324-auto_grown_20260226113324624_abf,1.1431,11.2,66,0.005291,157,0.34,0.81,1916.6,REVIEW
20250703034159-auto_grown_20250703034159599,0.5004,11.2,299,0.01459,665,0.15,0.47,692.2,REVIEW
20250928235954-auto_grown_20250928235953722_copy,1.1893,11.0,72,0.005706,165,0.35,0.82,1922.0,REVIEW
20260226110425-auto_grown_20260226110425097_abf,1.0476,11.0,66,0.00517,151,0.32,0.94,1908.2,REVIEW
20260226110425-auto_grown_20260226110425097_abf,0.5496,11.0,359,0.006295,329,0.31,0.77,3937.8,REVIEW
20260226113324-auto_grown_20260226113324624_abf,0.5392,11.0,317,0.005421,345,0.31,0.8,4012.3,REVIEW
20230702185753,0.5275,11.0,1559,0.004245,9796,0.54,1.45,555.1,REVIEW
20260226113324-auto_grown_20260226113324624_abf,1.2097,10.9,103,0.008386,142,0.4,0.63,1948.4,REVIEW
20260226121302-auto_grown_20260226121302716_abf,0.5351,10.9,305,0.005189,347,0.31,0.8,4020.3,REVIEW
20250502184201-auto_grown_20250502163549332,0.2722,10.8,190,0.019057,1399,0.03,0.11,440.9,REVIEW
20250702235910-auto_grown_20250702235910292,0.2689,10.7,81,0.018741,247,0.07,0.14,416.5,REVIEW
20250702235910-auto_grown_20250702235910292,0.4086,10.7,152,0.033733,357,0.06,0.32,428.7,REVIEW
20260220213127-w00,0.2724,10.6,2628,0.004873,598,0.75,0.82,2804.2,REVIEW
20260603185441-5753_-6,0.263,10.5,16619,0.01159,8062,0.14,1.18,3054.4,REVIEW
20260603024952-5753_-2,0.2632,10.2,22900,0.011491,7864,0.17,1.27,3079.0,REVIEW
20260603005223-5753_-1,0.2614,10.1,22978,0.010982,7808,0.19,1.26,3178.0,REVIEW
20250928235954-auto_grown_20250928235953722_copy,1.2122,9.8,69,0.005653,159,0.35,0.8,1899.6,REVIEW
20260220214732-auto_grown_20260220144552896,0.2796,9.8,2677,0.004948,546,0.74,0.81,2794.9,REVIEW
20260602204401-5753_-7,0.2711,9.8,10606,0.01058,6314,0.11,0.85,2959.4,REVIEW
20260603145540-5753_-4,0.2662,9.8,23888,0.013291,8144,0.16,1.23,3067.9,REVIEW
20260603193311-5753_-1_copy,0.2574,9.8,19739,0.011183,7252,0.16,1.2,3087.9,REVIEW
20260226110425-auto_grown_20260226110425097_abf,1.1707,9.6,74,0.006098,153,0.35,0.77,1878.2,REVIEW
20260226121302-auto_grown_20260226121302716_abf,1.1297,9.6,65,0.005176,157,0.34,0.8,1919.0,REVIEW
20260602225659-5753_0,0.2609,9.6,16812,0.007678,8014,0.2,1.29,3193.5,REVIEW
20260603042357-5753_-3,0.2671,9.4,26609,0.013908,8140,0.17,1.29,3061.6,REVIEW
20250502182142-auto_grown_20250502161324419,0.3297,9.3,20,0.003356,556,0.05,0.15,360.1,REVIEW
20260603145540-5753_-4,0.3069,9.3,9876,0.001937,4312,0.66,1.17,3037.1,REVIEW
20260623141924-w010-027,0.2565,9.3,184428,0.002269,62864,0.5,18.03,3613.6,REVIEW
20260623141924-w010-027,0.5445,9.2,40016,0.00222,29484,0.5,18.02,1702.1,REVIEW
20250929040153-auto_grown_20250929040153260,0.1733,9.1,319,0.000126,434,0.12,0.84,5437.9,WATCH
20250929040153-auto_grown_20250929040153260,0.372,9.0,46,8.5e-05,214,0.18,0.84,2558.0,WATCH
20260205070000-w041_2026020507_flatboi,0.107,8.8,5564,0.000993,10548,0.2,1.0,8998.1,WATCH
20250502182142-auto_grown_20250502161324419,0.5762,8.8,11,0.112245,0,0.17,0.17,352.3,REVIEW
20260603185441-5753_-6,0.3393,8.8,8107,0.001962,4824,0.54,1.13,2728.0,REVIEW
20251205115859-w094_20251205115859448_flatboi,0.4586,8.7,309,0.001471,78,0.63,0.7,1719.9,REVIEW
20260602204401-5753_-7,0.3581,8.7,7700,0.00263,3904,0.47,1.04,2523.1,REVIEW
20251001060526-auto_grown_20251001060526760,2.2687,8.6,5,9.2e-05,24,0.52,4.07,423.2,WATCH
20231031143852,0.2118,8.6,37830,0.002679,5574,0.64,3.12,4428.9,REVIEW
20231221180251,0.3722,8.6,7410,0.002449,1082,2.23,2.69,2385.6,REVIEW
20231221180251,0.1753,8.6,33607,0.00246,2344,1.7,2.69,5063.6,REVIEW
20250502185519-auto_grown_20250502164303733,0.4876,8.5,54,0.010162,114,0.1,0.13,557.8,REVIEW
20231031143852,0.4498,8.5,8152,0.002606,2590,0.66,3.11,2085.4,REVIEW
20260603042357-5753_-3,0.2984,8.5,7284,0.001347,3548,0.97,1.19,3195.2,REVIEW
20260205070000-w041_2026020507_flatboi,0.3087,8.4,1080,0.001479,4226,0.16,1.0,3115.8,REVIEW
20260205070000-w041_2026020507_flatboi,0.744,8.4,161,0.001331,2110,0.42,1.01,1296.2,REVIEW
20260603024952-5753_-2,0.2848,8.4,6408,0.001134,3282,0.97,1.16,3349.3,REVIEW
20260603190005-5753_-5,0.3265,8.4,8239,0.001806,4922,0.55,1.14,2887.5,REVIEW
20251205115859-w094_20251205115859448_flatboi,0.4597,8.3,293,0.001405,58,0.63,0.7,1714.3,REVIEW
20260603222816-20231005123336_v2_flatboi,0.9767,8.3,5,1e-05,70,2.18,2.3,1039.7,WATCH
20260205070000-w041_2026020507_flatboi,0.7414,8.2,161,0.001348,1568,0.42,1.0,1296.7,REVIEW
20260205070000-w041_2026020507_flatboi,0.2269,8.2,2008,0.001482,5762,0.16,1.0,4243.8,REVIEW
20260225160055-auto_grown_20260225160055913,0.8552,8.2,27,0.002961,286,0.17,0.42,1306.8,REVIEW
20260203210000-w040_2026020321_flatboi,0.7533,8.1,187,0.001208,1386,0.63,1.04,1325.3,REVIEW
20260203210000-w040_2026020321_flatboi,0.1088,8.1,5844,0.000879,5618,0.48,1.04,9191.8,WATCH
20250502185519-auto_grown_20250502164303733,0.502,8.1,36,0.009469,46,0.1,0.13,550.4,REVIEW
20260203210000-w040_2026020321_flatboi,0.313,8.0,1196,0.001335,2390,0.6,1.04,3179.5,REVIEW
20260203210000-w040_2026020321_flatboi,0.2304,8.0,2282,0.001373,3246,0.6,1.04,4332.2,REVIEW
20250703034159-auto_grown_20250703034159599,0.6816,8.0,66,0.003932,207,0.16,0.7,681.1,REVIEW
20230702185753,0.2528,8.0,16913,0.000937,7750,0.66,3.07,3844.2,WATCH
20260603193311-5753_-1_copy,0.2803,8.0,5353,0.001042,2954,0.73,1.14,3485.9,REVIEW
20260623141135-w046-052_jordi,0.1192,8.0,46662,0.000487,1338,0.92,7.02,8422.5,WATCH
20260108140509-w011_20260108140509268_flatboi,0.5591,7.9,798,0.000697,1723,0.92,1.49,1719.6,OK
20260203210000-w040_2026020321_flatboi,0.7523,7.9,180,0.001173,976,0.63,1.04,1325.1,REVIEW
20231016151002,0.6533,7.9,1046,0.0003,738,4.16,4.98,1494.4,OK
20231106155351,0.2001,7.9,35128,0.001993,5042,0.74,3.5,4911.7,REVIEW
20260623141649-w053-058_jordi,0.226,7.9,9802,0.000474,538,5.98,6.02,4414.7,OK
20260623141649-w053-058_jordi,0.1064,7.9,44391,0.000476,1188,5.98,6.02,9377.8,OK
20240304141531-w013_20240304141531_flatboi,0.4271,7.8,8082,0.001044,5432,0.6,5.76,2326.7,REVIEW
20251206103305-w012_20251206103305555_flatboi,0.7182,7.8,857,0.001292,1063,1.04,1.49,1346.6,REVIEW
20251206103305-w012_20251206103305555_flatboi,0.5278,7.8,1630,0.001317,1521,1.02,1.49,1832.9,REVIEW
20230702185753,0.5371,7.8,3594,0.000899,3600,0.67,3.07,1809.4,OK
20231106155351,0.4251,7.8,7802,0.001999,2352,0.78,3.5,2311.6,REVIEW
20260623141135-w046-052_jordi,0.2533,7.8,10109,0.000476,630,1.55,7.02,3965.6,OK
20260623142658-w028-037,0.1735,7.8,79184,0.00092,11104,0.55,10.0,5747.4,OK
20240304141531-w013_20240304141531_flatboi,0.5809,7.7,4282,0.001025,3962,0.63,5.76,1707.8,REVIEW
20260130150000-w039_2026013015_flatboi,0.1082,7.7,1315,0.000169,4032,0.43,1.06,9288.6,OK
20251204192708-w093_20251204192708445_flatboi,0.4188,7.7,242,0.000831,1194,0.64,0.73,2081.8,OK
20231012184424,0.3759,7.7,5383,0.000629,1740,2.27,4.12,2666.7,OK
20231012184424,0.177,7.7,24942,0.000646,3776,1.63,4.12,5663.0,OK
20260623142658-w028-037,0.3683,7.7,17156,0.000899,5186,0.56,10.0,2708.0,OK
20260623144957-w053-058,0.2257,7.7,7282,0.000352,732,5.98,6.02,4473.8,OK
20260623143441-w038-045,0.1381,7.7,30498,0.000348,5230,0.06,8.0,7269.6,OK
20260623144957-w053-058,0.1063,7.7,33997,0.000364,1574,5.98,6.02,9501.5,OK
20231210121321,0.3504,7.6,2248,0.000507,554,1.92,1.99,2865.2,OK
20231007101619,0.1543,7.6,16978,0.000304,2718,4.55,5.02,6601.9,OK
20231210121321,0.165,7.6,10614,0.00053,1184,1.92,1.99,6088.2,OK
20260623141649-w053-058_jordi,0.7387,7.6,401,0.000213,124,5.98,6.01,1356.5,OK
20260623143441-w038-045,0.2936,7.6,6118,0.000316,2424,0.06,8.0,3429.8,OK
20260108140509-w011_20260108140509268_flatboi,0.7609,7.5,313,0.00051,1243,1.02,1.49,1262.9,OK
20231007101619,0.3279,7.5,3775,0.000305,1236,4.62,5.02,3107.5,OK
20260623144224-w046-052,0.1188,7.5,42525,0.000444,752,0.88,7.02,8525.3,OK
20260623144224-w046-052,0.2523,7.5,9225,0.000435,356,1.33,7.02,4014.0,OK
20250925212701-auto_grown_20250925212701145,0.5584,7.4,270,0.000626,144,0.21,1.15,1818.2,OK
20250925212701-auto_grown_20250925212701145,0.2618,7.4,1417,0.000687,392,0.16,1.16,3866.4,OK
20250502205333-auto_grown_20250502181030065,0.5216,7.4,32,0.003287,458,0.09,0.3,354.0,REVIEW
20260220213127-w00,1.0427,7.4,3,8.3e-05,248,0.74,0.83,738.6,OK
20240304144031-w018_20240304144031_flatboi,0.4717,7.3,1660,0.000319,1442,5.14,5.3,2195.9,OK
20240304144031-w018_20240304144031_flatboi,0.3468,7.3,3020,0.000314,1980,5.14,5.3,2990.3,OK
20260108140509-w011_20260108140509268_flatboi,0.2956,7.3,1533,0.000406,908,1.22,1.34,3531.2,OK
20250925222237-auto_grown_20250925222237459,0.3315,7.3,571,0.000177,24,0.23,2.97,3173.2,OK
20260602225659-5753_0,1.014,7.3,2,1.6e-05,1969,0.21,1.27,801.6,OK
20260602225659-5753_0,1.0165,7.3,2,1.6e-05,1831,0.2,1.25,800.1,OK
20260130150000-w039_2026013015_flatboi,0.7357,7.2,10,5.3e-05,1054,0.72,1.07,1357.4,OK
20251206103305-w012_20251206103305555_flatboi,0.2859,7.1,1480,0.000367,96,1.26,1.37,3709.3,OK
20250925222237-auto_grown_20250925222237459,0.7067,7.0,97,0.000143,10,0.31,2.97,1491.6,OK
20251204101314-w092_20251204101314959_flatboi,0.4224,7.0,177,0.000621,798,0.64,0.72,2035.6,OK
20260623141135-w046-052_jordi,0.8261,7.0,507,0.000262,90,6.13,7.01,1214.8,OK
20260623144957-w053-058,0.7381,7.0,213,0.000113,224,5.98,6.02,1374.9,OK
20240304141531-w013_20240304141531_flatboi,0.237,6.9,438,1.9e-05,60,5.64,5.73,4549.5,OK
20240304161941-w023_20240304161941_flatboi,0.3024,6.9,431,4.4e-05,856,4.42,4.58,3554.9,OK
20251208130119-w028_20251208130119156_flatboi,0.3052,6.9,83,3.4e-05,104,1.15,1.32,3595.5,OK
20251212185248-w029_20251212185248662_flatboi,0.295,6.9,109,4.3e-05,240,1.14,1.31,3700.2,OK
20251204101314-w092_20251204101314959_flatboi,0.4214,6.9,175,0.00061,1256,0.64,0.73,2041.1,OK
20260623144224-w046-052,0.8235,6.9,470,0.000243,12,5.44,7.02,1229.7,OK
20240304161941-w023_20240304161941_flatboi,0.4112,6.8,226,4.3e-05,634,4.42,4.58,2610.4,OK
20251208130119-w028_20251208130119156_flatboi,0.4151,6.8,43,3.3e-05,80,1.15,1.32,2640.8,OK
20251212185248-w029_20251212185248662_flatboi,0.4011,6.8,58,4.3e-05,176,1.14,1.31,2717.2,OK
20251220020000-w030_2025122002_flatboi,0.3934,6.8,53,3.9e-05,84,1.13,1.29,2788.0,OK
20251220020000-w030_2025122002_flatboi,0.2897,6.8,98,3.8e-05,118,1.13,1.29,3797.0,OK
20250502184658-auto_grown_20250502163923577,0.5232,6.8,11,0.001204,454,0.09,0.24,443.0,REVIEW
20260603005223-5753_-1,1.0019,6.8,6,5.1e-05,1871,0.2,1.09,798.2,OK
20260130150000-w039_2026013015_flatboi,0.306,6.7,156,0.000145,1636,0.68,1.06,3251.6,OK
20250502183138-auto_grown_20250502162038685,0.5567,6.7,2,0.000638,189,0.1,0.23,318.4,WATCH
20260130150000-w039_2026013015_flatboi,0.2251,6.6,165,8.3e-05,2202,0.71,1.06,4437.4,OK
20260119120000-w036_2026011912_flatboi,0.1177,6.6,181,2.2e-05,2496,0.3,1.06,9052.4,OK
20260623144957-w053-058,0.9027,6.6,103,8e-05,196,5.98,6.02,1118.4,OK
20260623145652-w059-063,0.825,6.6,26,2.2e-05,560,4.99,5.02,1232.0,OK
20260623145652-w059-063,0.0971,6.6,1661,1.9e-05,4562,4.98,5.02,10466.1,OK
20260130150000-w039_2026013015_flatboi,0.7353,6.5,10,5.4e-05,728,0.72,1.07,1357.0,OK
20260603145540-5753_-4,1.0075,6.5,2,2e-05,1945,0.17,0.76,770.0,OK
20260623145652-w059-063,0.8247,6.5,23,1.9e-05,562,4.99,5.02,1232.0,OK
20260623145652-w059-063,0.2063,6.5,315,1.6e-05,2134,4.98,5.02,4927.2,OK
20260603005223-5753_-1,1.0071,6.4,1,9e-06,1767,0.2,0.94,796.4,OK
20260623141649-w053-058_jordi,0.9037,6.4,99,7.6e-05,184,5.98,6.02,1103.8,OK
20260623141649-w053-058_jordi,0.904,6.4,99,7.7e-05,184,5.98,6.02,1103.7,OK
20260220214732-auto_grown_20260220144552896,1.0584,6.2,2,5.5e-05,246,0.74,0.82,733.5,OK
20260603185441-5753_-6,1.0182,6.2,8,9.7e-05,1949,0.14,0.61,769.1,WATCH
20260128140000-w038_2026012814_flatboi,0.7558,6.1,1,6e-06,757,0.76,1.07,1343.9,OK
20250925182632-auto_grown_20250925182632715,0.8805,6.1,1,1.4e-05,163,0.22,0.89,959.6,OK
20251115002745-auto_grown_20251115002740308_5_flatboi,0.6878,6.1,1,1e-06,2338,6.01,6.03,1565.1,OK
20251115002745-auto_grown_20251115002740308_5_flatboi,0.6879,6.1,1,1e-06,2348,6.01,6.03,1565.1,OK
20251204071911-w091_20251204071911070_flatboi,0.4328,6.1,31,0.000111,428,0.64,0.73,2020.0,OK
20251204071911-w091_20251204071911070_flatboi,0.431,6.1,12,4.3e-05,670,0.64,0.73,2025.7,OK
20260603024952-5753_-2,0.9993,6.1,1,9e-06,1805,0.18,1.24,772.9,OK
20260603185441-5753_-6,1.0248,6.1,3,3.7e-05,1814,0.14,0.6,766.2,WATCH
20260603193311-5753_-1_copy,1.0274,6.1,1,1.1e-05,1369,0.17,1.1,772.3,OK
20260119120000-w036_2026011912_flatboi,0.242,6.0,1,0.0,1544,0.72,1.06,4341.5,OK
20260128140000-w038_2026012814_flatboi,0.1117,6.0,20,3e-06,2374,0.53,1.05,9274.9,OK
20251204060522-w090_20251204060522416_flatboi,0.4348,6.0,0,0.0,454,0.64,0.73,2017.8,OK
20260603193311-5753_-1_copy,1.0308,6.0,1,1.1e-05,1351,0.17,1.17,771.8,OK
20251212185248-w029_20251212185248662_flatboi,0.9649,5.9,0,0.0,86,1.15,1.31,1131.1,OK
20250502180708-auto_grown_20250502160708188,0.8774,5.9,0,0.0,166,0.24,0.54,423.4,OK
20251204060522-w090_20251204060522416_flatboi,0.4333,5.9,0,0.0,780,0.64,0.74,2024.0,OK
20260623143441-w038-045,0.9413,5.9,0,0.0,226,0.99,8.0,1045.4,OK
20251220020000-w030_2025122002_flatboi,0.9477,5.8,0,0.0,90,1.13,1.29,1159.8,OK
20260119120000-w036_2026011912_flatboi,0.329,5.8,0,0.0,1130,0.73,1.06,3188.2,OK
20260220213127-w00,1.0789,5.8,0,0.0,114,0.75,0.81,729.5,OK
20250926122938-w082_20250926122938619_flatboi,0.4191,5.8,0,0.0,4300,0.65,0.68,2105.2,OK
20231106155351,1.3704,5.8,0,0.0,742,0.63,3.51,709.0,OK
20260603024952-5753_-2,1.0001,5.8,0,0.0,1749,0.18,1.19,771.1,OK
20260603042357-5753_-3,1.0028,5.8,0,0.0,1881,0.17,0.85,768.6,OK
20260603042357-5753_-3,1.0072,5.8,0,0.0,1817,0.17,0.91,767.3,OK
20260603145540-5753_-4,1.0089,5.8,0,0.0,1845,0.16,0.89,768.3,OK
20260603190005-5753_-5,1.0383,5.8,0,0.0,1751,0.16,0.68,762.8,OK
